#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
48,"etoile et toi","物語シリーズ",100,12A,44,2021-10-12,05:53,38,"anime, j-pop","Kizumonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,60,69,62,19,0,10,-11,C♯/D♭ Minor,4,7HpPrrYlxfEuAoLj04W2i3,JPE301600945
49,"Can't Feel My Face","The Weeknd",108,8A,77,2021-11-07,03:33,83,"","Beauty Behind The Madness",2015-08-28,71,11,0,58,0,10,-6,A Minor,4,22VdIZQfgXJea34mQxlt81,USUG11500741
50,"In The Night","The Weeknd",168,9B,68,2021-11-08,03:55,71,"","Beauty Behind The Madness",2015-08-28,51,8,0,54,0,0,-5,G Major,3,25KybV9BOUlvcnv7nN3Pyo,USUG11500951
51,"FLY HIGH!!","BURNOUT SYNDROMES",94,1B,96,2021-11-15,04:04,63,"anime, j-rock, j-pop","檸檬",2016-11-09,48,1,0,36,0,30,-1,B Major,4,3YOZLPRiTuYgItSGO41gPT,JPU901503546
52,"花一匁","BURNOUT SYNDROMES",174,11B,97,2021-12-02,04:35,42,"anime, j-rock, j-pop","孔雀",2018-02-21,31,0,0,36,10,10,-2,A Major,4,590Ze7BOcA1F5tHUfUIRCA,JPU901703953
53,"What More Do You Want","Kristin Chenoweth",90,3A,80,2021-12-07,03:23,3,"musicals","Some Lessons Learned",2011-09-09,43,5,0,50,0,30,-3,A#/B♭ Minor,4,0O1acKEBEy9D6j7itYsuo1,USSM11103781
54,"BLIZZARD","BURNOUT SYNDROMES",138,10A,92,2022-01-17,03:47,18,"anime, j-rock, j-pop","BLIZZARD / 銀世界",2021-05-19,50,2,0,73,0,30,-3,B Minor,4,7pak7vMipsNsE9BSYogIo7,JPU902100847
55,"Broken Youth -Original Version-","NICO Touches the Walls",176,2B,96,2022-01-24,05:10,39,"anime, j-rock, j-pop","Who are you?",2008-09-24,28,0,0,35,0,20,-4,F#/G♭ Major,4,0wDG6p0LEyrGD5mwOtdcw3,JPKS00801681
56,"Feeling Whitney","Post Malone",80,8B,23,2022-01-25,04:17,38,"","Stoney (Complete Edition)",2016-12-09,41,79,0,23,0,20,-13,C Major,4,3OogrVjXh87InQTgerA5VL,USUM71614505
57,"Bon-Bon","Era Istrefi,Varvara Flute Princess",145,6A,76,2022-02-07,02:40,0,"","Flute Madness",2019-09-08,50,64,95,74,0,60,-6,G Minor,4,10COoePiLLYjw3t2AvUu32,GBLPF0239640
58,"ほっとした","NICO Touches the Walls",145,12B,16,2022-02-10,04:10,8,"anime, j-rock, j-pop","Who are you?",2008-09-24,50,86,0,25,0,0,-11,E Major,4,6EiUgkzl4l9KntBC24NF27,JPKS00801685
59,"Knowing When to Leave","Kristin Chenoweth",139,3B,38,2022-03-13,03:35,13,"musicals","Promises, Promises (New Broadway Cast Recording (2010))",2010-06-21,57,66,0,45,0,20,-10,C♯/D♭ Major,4,0Oz0m6bu0NPzvGLZElcldt,USSM11001588
60,"Last Name (feat. Kristin Chenoweth)","Glee Cast,Kristin Chenoweth",160,6B,81,2022-03-14,04:02,29,"christmas, musicals","Glee: The Music, The Complete Season One",2010-09-14,52,21,0,78,0,0,-4,A#/B♭ Major,4,57R2LHdGxJBSwhvZuJzPnq,USQX90900573
61,"Evil Like Me","Kristin Chenoweth,Dove Cameron,Disney",85,6A,57,2022-03-14,03:44,59,"musicals, ","Descendants (Original TV Movie Soundtrack)",2015-01-01,56,61,0,37,0,10,-5,G Minor,4,0oe0UYSKAESBUR12I1ESXQ,USWD11571327
62,"Maybe This Time (Glee Cast Version) (feat. Kristin Chenoweth)","Glee Cast,Kristin Chenoweth",86,2B,38,2022-03-14,02:59,29,"christmas, musicals","Glee: The Music, The Complete Season One",2010-09-14,40,46,0,19,10,10,-8,F#/G♭ Major,4,5rjFHLQqKeEiQABckiF9my,USQX90900570
63,"Complicated","Avril Lavigne",78,7B,78,2022-05-10,04:04,83,"","Let Go",2002-06-04,59,6,0,43,0,30,-6,F Major,4,5xEM5hIgJ1jjgcEBfpkt2F,USAR10200223
64,"Sk8er Boi","Avril Lavigne",150,8B,90,2022-05-10,03:24,80,"","Let Go",2002-06-04,49,0,0,48,0,30,-4,C Major,4,00Mb3DuaIH1kjrwOku9CGU,USAR10200229
65,"My World","Avril Lavigne",103,3B,92,2022-05-10,03:27,50,"","Let Go",2002-06-04,60,1,0,70,0,10,-5,C♯/D♭ Major,4,2eQMZp4HLfQAX5S7wRuso3,USAR10200226
66,"Stay","Post Malone",86,7B,48,2022-05-28,03:24,69,"","beerbongs & bentleys",2018-04-27,51,45,0,35,0,10,-5,F Major,4,4H7WNRErSbONkM06blBoGc,USUM71805172
67,"My Happy Ending","Avril Lavigne",170,10B,94,2022-07-03,04:02,74,"","Under My Skin",2004-00-00,41,0,0,74,0,30,-2,D Major,4,6sqNctd7MlJoKDOxPVCAvU,USAR10400486
68,"pfpercAD11:罪","Sawano Hiroyuki",126,9B,91,2022-07-04,02:57,13,"anime, soundtrack","七つの大罪 オリジナル・サウンドトラック 2",2015-04-08,70,42,77,96,0,0,-8,G Major,4,6thBomMPPPFHwe1vYfoUGX,JPE301500202
69,"Girlfriend","Avril Lavigne",164,9B,96,2022-07-20,03:36,78,"","The Best Damn Thing (Expanded Edition)",2007-04-17,56,0,0,67,10,20,-2,G Major,4,45hOioMDJktr86iKDHC8gr,USRC10700021
70,"Keep Holding On","Avril Lavigne",161,9B,79,2022-07-22,03:59,63,"","The Best Damn Thing (Expanded Edition)",2007-04-17,16,4,0,14,0,10,-2,G Major,3,4UPcXTh26ilb7owtuyHqNI,USRC10602180
71,"What the Hell","Avril Lavigne",150,11A,93,2022-08-17,03:40,76,"","Goodbye Lullaby (Expanded Edition)",2011-03-08,58,0,1,88,0,10,-4,F#/G♭ Minor,4,2z4U9d5OAA4YLNXoCgioxo,USRC11000915
72,"ニワカ雨ニモ負ケズ　(Acoustic)","NICO Touches the Walls",108,3A,94,2022-10-17,04:31,12,"anime, j-rock, j-pop","Howdy!! We are ACO Touches the Walls",2015-02-04,70,46,0,93,0,0,-6,A#/B♭ Minor,4,4pRixgFDBqoFpXmIvaakIz,JPU901402688
73,"天地ガエシ (Album Mix)","NICO Touches the Walls",121,10B,94,2022-10-17,04:43,44,"anime, j-rock, j-pop","勇気も愛もないなんて",2016-03-16,31,1,0,70,0,20,-4,D Major,4,2Gw2VhDNZiPKd8rRcLHP68,JPU901600297
74,"渦と渦 (Album Mix)","NICO Touches the Walls",96,11B,98,2022-10-17,04:52,31,"anime, j-rock, j-pop","勇気も愛もないなんて",2016-03-16,44,0,0,40,0,40,-3,A Major,4,2Gkv3thHhwISxyxiMPgLF4,JPU901600304
75,"ホログラム - ANIME Ver. -","NICO Touches the Walls",156,8B,85,2022-10-19,01:41,34,"anime, j-rock, j-pop","ホログラム",2009-00-00,39,1,0,76,0,10,-3,C Major,4,5mZhMv331EFBDib4ED7pAI,JPKS00901382
76,"夢で逢えたら","NICO Touches the Walls",162,12B,87,2022-10-20,04:11,13,"anime, j-rock, j-pop","まっすぐなうた",2015-06-24,55,0,0,96,0,0,-6,E Major,4,4Ks7LLlfOVBgAGPX6Rlgbs,JPU901501414
77,"マシ・マシ　TVsize","NICO Touches the Walls",204,6A,91,2022-10-20,01:30,27,"anime, j-rock, j-pop","マシ・マシ",2016-11-30,50,14,0,92,20,30,-3,G Minor,4,696e37kLPdR3VMIpn19h9F,JPU901602985
78,"Rock N Roll - Acoustic","Avril Lavigne",92,5B,78,2022-12-07,03:23,32,"","Avril Lavigne (Expanded Edition)",2013-11-01,72,55,0,95,0,20,-4,D#/E♭ Major,4,3To154MrcVPK0D50NsFu0e,USSM11304511
79,"Breakaway","Avril Lavigne",169,8B,74,2022-12-14,03:43,54,"","Let Go (20th Anniversary Edition)",2022-06-03,35,0,0,36,0,30,-6,C Major,3,74kqTZLnGoPtCwGecA37Xi,USAR12200207
80,"Alice","Avril Lavigne",119,8B,74,2022-12-16,03:34,46,"","Alice",2010-01-29,55,7,0,14,0,10,-5,C Major,4,2wgoqrrgK2TCh1l0wExt8S,USRC11000062
81,"Smile - Acoustic Version","Avril Lavigne",110,9B,61,2022-12-16,03:33,26,"","Wish You Were Here",2011-09-09,67,46,0,60,0,20,-5,G Major,4,2ZHRkbJKanmpkElpGNuvBc,USRC11100527
82,"Call Your Name (Gv)","Sawano Hiroyuki",73,4B,61,2023-02-08,04:19,50,"anime, soundtrack"," Attack on Titan  Season 3 Original Soundtrack",2019-08-26,59,4,8,16,0,10,-6,G#/A♭ Major,4,4HFytekNqRCDsyX2MlaglV,JPPC01900865
83,"Just the Way You Are","Bruno Mars",109,7B,84,2024-01-11,03:40,82,"","Doo-Wops & Hooligans",2010-05-11,64,1,0,42,0,0,-5,F Major,4,47Slg6LuqLaX0VodpSCvPt,USAT21001269
84,"The Hills","The Weeknd",113,5A,56,2024-01-15,04:02,87,"","Beauty Behind The Madness",2015-08-28,59,7,0,14,0,10,-7,C Minor,4,7fBv7CLKzipRk6EC6TWHOB,USUG11500737
85,"Locked out of Heaven","Bruno Mars",144,7B,70,2024-01-15,03:53,90,"","Unorthodox Jukebox",2012-12-07,73,5,0,87,0,30,-4,F Major,4,3w3y8KPTfNeOKPiqUTakBh,USAT21203287
86,"El Fantasma","Árbol",139,9B,61,2024-02-13,03:57,66,"argentine rock","GUAU!",2005-01-01,62,20,0,61,0,0,-5,G Major,4,0N361WhEqVunVl5ZBkfd70,USUM70506655
87,"喧嘩","物語シリーズ",135,8A,73,2024-04-08,02:43,18,"anime, j-pop","Nisemonogatari Gekihanongakushu (Original Soundtrack)",2018-11-02,62,50,25,56,0,10,-7,A Minor,3,0KIicLwM8biOlbW0XJMESE,JPE301201663
88,"It's All Coming Back to Me Now","Céline Dion",88,8B,44,2024-04-28,07:36,76,"variété française","Falling into You",1996-03-11,38,75,0,29,0,10,-9,C Major,4,5EQzuYfTZt7B2LqlvTF49l,CAC229800163
89,"Taking Chances","Céline Dion",176,10B,54,2024-08-02,04:02,49,"variété française","Taking Chances (Deluxe Edition)",2007-11-07,27,2,0,24,0,10,-6,D Major,4,6qIbRE3pmqrwgeJpArn9Gq,CAC220700024
90,"Treasure","Bruno Mars",116,4A,69,2024-08-13,02:58,83,"","Unorthodox Jukebox",2012-12-07,87,4,0,94,0,30,-5,F Minor,4,55h7vJchibLdUkxdlX3fK7,USAT21206909
91,"Crocodile Rock","Elton John",150,9A,80,2024-08-13,03:55,72,"","Don't Shoot Me I'm Only The Piano Player",1973-01-22,62,3,0,97,0,0,-7,E Minor,4,6WCeFNVAXUtNczb7lqLiZU,GBAMB7200001
92,"MONTERO (Call Me By Your Name)","Lil Nas X",179,1A,50,2024-08-21,02:17,73,"","MONTERO",2021-09-17,59,29,0,71,20,40,-7,G#/A♭ Minor,4,1SC5rEoYDGUK4NfG82494W,USSM12100531
93,"銀世界","BURNOUT SYNDROMES",92,1B,95,2024-12-02,03:41,23,"anime, j-rock, j-pop","TOKYO",2021-06-23,49,1,0,56,10,20,-4,B Major,4,09o3LtxXuXedzedeEyJQMI,JPU902100891
94,"Hipercandombe","La Maquina De Hacer Pájaros",151,8A,55,2024-12-30,04:30,42,"argentine rock, progressive rock, latin rock","Peliculas",1977-04-29,43,0,0,73,10,0,-11,A Minor,4,0h9QE6kspuK23cB8AYwmjZ,ARF100300043
95,"Teardrops","Elton John,k.d. lang",138,11A,88,2025-03-31,04:52,30,"","Duets",1993-11-22,78,4,0,96,0,20,-8,F#/G♭ Minor,4,4ajRAtHjwj5tNgQpt3Fw5z,GBALX9390094
96,"Hot","Avril Lavigne",145,4B,94,2025-05-26,03:22,61,"","The Best Damn Thing (Expanded Edition)",2007-04-17,60,2,0,47,0,30,-4,G#/A♭ Major,4,6z7fZRrQfOH3ZjWEkC4QhC,USRC10700073
97,"Yeah - bonus","Mac Miller",148,4B,79,2025-05-26,05:04,55,"","Faces",2021-10-15,51,14,0,15,0,20,-5,G#/A♭ Major,4,7b8aKAUn1BB2k1clevj4aB,USWB12103329
98,"いいこになっちゃいけないの","NICO Touches the Walls",152,10A,98,2025-05-26,03:52,3,"anime, j-rock, j-pop","まっすぐなうた",2015-06-24,49,1,0,80,0,0,-3,B Minor,4,2xe29tmd4XRNfG2xFK2hpk,JPU901501413
99,"MASAMUNE","BURNOUT SYNDROMES",178,3B,91,2025-05-26,04:46,11,"anime, j-rock, j-pop","明星",2019-02-20,48,13,0,65,20,30,-4,C♯/D♭ Major,4,7eGcfhtTyqEGWQWrMj7Bt9,JPU901804384
100,"Astros","Ciro y los Persas",148,8B,85,2025-05-26,04:12,64,"argentine rock","27",2012-11-19,56,2,0,68,0,0,-6,C Major,4,6iVP8SnhHnFNy7WYrIw1JB,ARG601200677
101,"Birds","Imagine Dragons",120,12A,52,2025-06-23,03:39,73,"","Origins (Deluxe)",2018-11-09,65,1,0,35,0,10,-7,C♯/D♭ Minor,4,6Tvzf3VEi16JMhAgOwdt2y,USUM71816168
102,"NAMELY","UVERworld",105,6B,70,2025-09-27,04:07,27,"anime, j-rock, j-pop","30",2021-12-22,54,0,0,17,0,10,-6,A#/B♭ Major,4,5k1Z8ZFvQ6hD0Op8Y5Kuoz,JPU902101140
103,"Antes y Después","Ciro y los Persas",150,11B,78,2025-10-13,05:02,64,"argentine rock","Espejos",2009-01-01,45,1,0,26,0,10,-7,A Major,4,3Awr8U97Q3vVR3vWdQv8Ts,ARG601000058
104,"Touch off (short ver.)","UVERworld",200,10B,85,2025-10-14,01:29,30,"anime, j-rock, j-pop","Touch off (short ver.)",2019-01-11,41,0,0,22,0,20,-6,D Major,4,5K7JxJEekABXwys0X4zwEi,JPU901804190
105,"undress me","Cö shu Nie",76,10A,69,2025-11-05,03:14,48,"anime, j-rock, j-pop","Flos Ex Machina",2022-03-16,44,20,0,81,0,0,-4,B Minor,4,1bwnXBfIQFIBgBtsBADycD,JPU902101657
